GCIN,regime,mean_post,mean_pre,median_post,median_pre,std_post,std_pre,q25_post,q25_pre,q75_post,q75_pre,count_post,count_pre,delta_mean,relative_delta_mean
2,high,0.3182389438152313,0.17718595266342163,0.07291652262210846,0.06909678131341934,1.6932554244995117,1.1648201942443848,0.036501286551356316,0.03742612712085247,0.11948084458708763,0.12544596195220947,179.0,182.0,0.1410529911518097,0.7960732159154328
2,low,6.35268497467041,8.56814956665039,5.764070987701416,9.53731918334961,5.207926273345947,5.203042030334473,0.7809693515300751,3.236732542514801,11.544061660766602,12.553114652633667,251.0,110.0,-2.2154645919799805,-0.2585697850797542
2,mid,1.9454776048660278,1.4757124185562134,0.1607804298400879,0.1406465321779251,4.1649699211120605,3.466668128967285,0.06478130258619785,0.06326108798384666,0.5638477057218552,0.3237370252609253,1752.0,1127.0,0.46976518630981445,0.31833111953439863
13,high,0.21728315949440002,0.16447925567626953,0.11389251053333282,0.11178085952997208,0.2863360643386841,0.2321963757276535,0.04958870820701122,0.05597756989300251,0.22675710171461105,0.12816699594259262,278.0,271.0,0.05280390381813049,0.3210368602473488
13,low,2.3999288082122803,2.371047258377075,2.2512612342834473,1.8183138370513916,1.6482301950454712,1.7383666038513184,0.8232789188623428,0.9428844153881073,3.8059276342391968,3.8934621810913086,326.0,223.0,0.028881549835205078,0.012180925425743646
13,mid,0.8713558316230774,0.7825060486793518,0.40113958716392517,0.4639444351196289,1.2258754968643188,1.0638346672058105,0.10627667605876923,0.11292131245136261,1.020658016204834,0.8986133635044098,2423.0,1963.0,0.08884978294372559,0.11354517079283771
24,high,1.282106876373291,1.1501216888427734,1.2958667278289795,1.2639763355255127,0.879187822341919,0.6882134675979614,0.9061118811368942,0.824851930141449,1.4935000240802765,1.343249797821045,210.0,183.0,0.13198518753051758,0.11475758505460244
24,low,3.744011163711548,3.796732187271118,4.07090425491333,3.8280482292175293,1.9660003185272217,1.9081519842147827,1.9736682176589966,2.0260748863220215,5.381650447845459,5.8553383350372314,229.0,164.0,-0.05272102355957031,-0.01388589475347306
24,mid,2.1214427947998047,2.279341459274292,1.465012550354004,1.529289722442627,1.7457205057144165,1.827041506767273,0.6992156058549881,1.1916503608226776,3.411950945854187,3.5628879070281982,1704.0,1432.0,-0.1578986644744873,-0.06927380881527065
35,high,0.2600219249725342,0.14886759221553802,0.13775858283042908,0.07646751403808594,0.5182667374610901,0.2876124083995819,0.03791597858071327,0.025363218039274216,0.26497960090637207,0.18883391469717026,292.0,246.0,0.11115433275699615,0.7466657524497426
35,low,3.392333507537842,3.105356454849243,2.1404306888580322,2.48526930809021,3.2341670989990234,2.331031084060669,0.942618191242218,1.3172513246536255,5.228196144104004,4.249582290649414,281.0,257.0,0.28697705268859863,0.09241356245607901
35,mid,0.881493866443634,0.6870638132095337,0.2046699821949005,0.20698833465576172,1.582343339920044,1.2087088823318481,0.08543089590966702,0.0925019308924675,0.8634683787822723,0.7085274457931519,2518.0,1777.0,0.19443005323410034,0.282986892186687
46,high,0.26887285709381104,0.1792747676372528,0.14890733361244202,0.11163951456546783,0.29997673630714417,0.21725642681121826,0.07822318933904171,0.04935464262962341,0.3668266236782074,0.18164443597197533,230.0,310.0,0.08959808945655823,0.49978081487659387
46,low,0.7583255767822266,0.9056210517883301,0.7679158449172974,0.8962591886520386,0.38527220487594604,0.4083007872104645,0.5293527245521545,0.600194588303566,1.039185881614685,1.271967738866806,321.0,220.0,-0.14729547500610352,-0.16264581605654937
46,mid,0.4614320993423462,0.40171176195144653,0.39502832293510437,0.31588488817214966,0.3974485397338867,0.35473477840423584,0.10944236069917679,0.09976440481841564,0.7146215438842773,0.6260559558868408,2453.0,1858.0,0.05972033739089966,0.14866464726048484
57,high,0.0679490864276886,0.041949834674596786,0.03556518629193306,0.026222337037324905,0.08550625294446945,0.04446427896618843,0.023941520601511,0.019145411904901266,0.07640891522169113,0.04884757846593857,297.0,296.0,0.025999251753091812,0.6197700647634724
57,low,0.3178272843360901,0.3797558546066284,0.2649734318256378,0.4371911585330963,0.2178507298231125,0.1974341869354248,0.1398962251842022,0.2115635871887207,0.5079319626092911,0.5549995005130768,406.0,187.0,-0.06192857027053833,-0.16307469527938492
57,mid,0.13858765363693237,0.13979940116405487,0.09470658749341965,0.09469082951545715,0.1454274207353592,0.13747245073318481,0.03707871399819851,0.03884955495595932,0.17308032885193825,0.18918710947036743,2630.0,2113.0,-0.0012117475271224976,-0.00866775906786975
68,high,0.040647875517606735,0.03134234994649887,0.03931526094675064,0.02328946255147457,0.029334986582398415,0.030472299084067345,0.011986218858510256,0.0061679776990786195,0.05210863333195448,0.04129424411803484,330.0,388.0,0.009305525571107864,0.2968994216130034
68,low,0.06244572997093201,0.06712695956230164,0.058009665459394455,0.06389570981264114,0.030155064538121223,0.027014972642064095,0.0383184589445591,0.04693255200982094,0.0827922374010086,0.08726274594664574,423.0,295.0,-0.004681229591369629,-0.0697369525134667
68,mid,0.04333551228046417,0.044702764600515366,0.041479066014289856,0.042331159114837646,0.028964977711439133,0.029986193403601646,0.018775974866002798,0.019982007797807455,0.05711581092327833,0.05866600852459669,3300.0,2440.0,-0.0013672523200511932,-0.03058540858198803
79,high,0.011020123958587646,0.010636666789650917,0.010093912482261658,0.010209028609097004,0.0121495071798563,0.004185586702078581,0.007667882833629847,0.009728850796818733,0.010989466682076454,0.01092117466032505,193.0,365.0,0.00038345716893672943,0.03605050120680842
79,low,0.06658229231834412,0.07192222774028778,0.051049184054136276,0.07315242290496826,0.04993531480431557,0.05261976644396782,0.019239457324147224,0.01511591486632824,0.1199241578578949,0.12470759451389313,457.0,101.0,-0.0053399354219436646,-0.07424596803683904
79,mid,0.039580825716257095,0.02971126139163971,0.017209492623806,0.011350534856319427,0.04030802845954895,0.03689538687467575,0.010099653387442231,0.010019154287874699,0.06410378217697144,0.027742776554077864,2950.0,1506.0,0.009869564324617386,0.33218260896168245
90,high,0.015097844414412975,0.01502234023064375,0.016327176243066788,0.016304440796375275,0.0146602438762784,0.01361426804214716,0.006136457901448011,0.006282471353188157,0.01705201156437397,0.017134280409663916,297.0,256.0,7.550418376922607e-05,0.005026126596121602
90,low,0.08932473510503769,0.07994818687438965,0.09336806833744049,0.056713830679655075,0.05540028586983681,0.05542215704917908,0.03364184312522411,0.03237144090235233,0.14064770191907883,0.13889504969120026,327.0,226.0,0.00937654823064804,0.11728281274696042
90,mid,0.04445069283246994,0.04207756370306015,0.026815608143806458,0.025404760614037514,0.04560551792383194,0.04225516691803932,0.016251448076218367,0.01629786053672433,0.04968268983066082,0.04687647894024849,2780.0,1638.0,0.00237312912940979,0.05639891953243483
101,high,0.015864958986639977,0.014861526899039745,0.01219302136451006,0.012123281136155128,0.015178904868662357,0.014356857165694237,0.009006352629512548,0.008420244324952364,0.015296617290005088,0.013747885124757886,306.0,380.0,0.0010034320876002312,0.06751877478114758
101,low,0.09338227659463882,0.08574322611093521,0.08967595547437668,0.09873223304748535,0.06463140994310379,0.03935251757502556,0.04035841394215822,0.04756738804280758,0.1269361674785614,0.11815005913376808,432.0,254.0,0.007639050483703613,0.0890921747429955
101,mid,0.05401836708188057,0.050864774733781815,0.03343871235847473,0.02779623121023178,0.055798958986997604,0.050354573875665665,0.012996233999729156,0.012713618110865355,0.07734643667936325,0.07527714595198631,3175.0,2311.0,0.003153592348098755,0.061999534345805296
112,high,0.8622387051582336,0.8932330012321472,0.9437134265899658,0.9505560398101807,0.3053606450557709,0.24347364902496338,0.5927087068557739,0.7523931860923767,1.1035076677799225,1.0924029350280762,158.0,169.0,-0.030994296073913574,-0.03469900466189593
112,low,1.0237925052642822,1.0187748670578003,1.0970966815948486,1.064713478088379,0.2665843665599823,0.23238606750965118,0.8160154223442078,0.8453427404165268,1.233830451965332,1.2363355159759521,249.0,78.0,0.005017638206481934,0.004925168816710962
112,mid,0.7890265583992004,0.8924540877342224,0.7589244246482849,0.8927978277206421,0.3013898432254791,0.25497105717658997,0.5664199888706207,0.6921752989292145,1.0392969846725464,1.1090269684791565,1731.0,878.0,-0.10342752933502197,-0.11589114863892387
113,high,0.321163147687912,0.2393520325422287,0.284945547580719,0.24828718602657318,0.29148000478744507,0.19922679662704468,0.14631545543670654,0.048181843012571335,0.4167782962322235,0.3309703767299652,346.0,309.0,0.08181111514568329,0.34180246675469284
113,low,2.266129732131958,1.8520779609680176,2.354015350341797,1.89564847946167,1.2895723581314087,1.1242214441299438,1.00224931538105,0.741499274969101,3.292442500591278,2.6803457736968994,472.0,183.0,0.41405177116394043,0.22356065991278778
113,mid,0.7492814064025879,0.562312126159668,0.47570115327835083,0.5073161721229553,0.9506751298904419,0.6014955639839172,0.1408652886748314,0.11402904242277145,0.7424409240484238,0.6891001462936401,2954.0,2281.0,0.18696928024291992,0.3325008861534495
124,high,0.10993628203868866,0.08605602383613586,0.09222021698951721,0.07847407460212708,0.11826711148023605,0.09055422991514206,0.03362164180725813,0.027269681449979544,0.11444126069545746,0.10693801380693913,414.0,384.0,0.023880258202552795,0.27749664855564954
124,low,0.5186086893081665,0.5155806541442871,0.51121985912323,0.5657045245170593,0.24829696118831635,0.24655836820602417,0.3233984038233757,0.3009779304265976,0.7457269579172134,0.7367455661296844,382.0,415.0,0.0030280351638793945,0.005873058152084946
124,mid,0.2118474692106247,0.19931024312973022,0.11571814864873886,0.1102822944521904,0.22227245569229126,0.21022340655326843,0.05662184953689575,0.05764739215373993,0.291874423623085,0.2687488794326782,2968.0,3403.0,0.01253722608089447,0.06290306952630649
135,high,0.07846736907958984,0.07415004074573517,0.10045412182807922,0.09946243464946747,0.05959350988268852,0.05967394635081291,0.01651460165157914,0.016572511289268732,0.10884272307157516,0.10399535670876503,274.0,324.0,0.004317328333854675,0.05822422065362104
135,low,0.30474773049354553,0.2916342616081238,0.324638307094574,0.28861990571022034,0.16424956917762756,0.14827857911586761,0.1462428718805313,0.1706024520099163,0.45026860386133194,0.4103975296020508,360.0,238.0,0.013113468885421753,0.044965460550182704
135,mid,0.11168796569108963,0.10698184370994568,0.06727365404367447,0.07305128872394562,0.13272298872470856,0.11606702208518982,0.0321287102997303,0.03614361211657524,0.10769908130168915,0.10736282914876938,2391.0,2390.0,0.004706121981143951,0.04398991284823447
145,high,0.15307749807834625,0.16093429923057556,0.1311745047569275,0.09920764714479446,0.2606903910636902,0.38193270564079285,0.044048525393009186,0.03839738480746746,0.16149971634149551,0.15625878423452377,416.0,427.0,-0.007856801152229309,-0.04881992956002888
145,low,2.3799991607666016,2.1237411499023438,2.4267663955688477,2.307687520980835,1.3734546899795532,1.0842082500457764,1.2718141078948975,1.5681421756744385,3.340799570083618,2.849560260772705,331.0,512.0,0.2562580108642578,0.12066348616734264
145,mid,0.6556426286697388,0.5855112671852112,0.1594855785369873,0.1601884812116623,0.9805710911750793,0.8691401481628418,0.07887591794133186,0.0804513432085514,0.7470407783985138,0.6082793176174164,3339.0,3403.0,0.07013136148452759,0.11977798791418195
155,high,0.07136169821023941,0.07093049585819244,0.06012487784028053,0.06639014929533005,0.09307374805212021,0.08170543611049652,0.020835761912167072,0.020644335076212883,0.08299065753817558,0.08423864096403122,287.0,341.0,0.00043120235204696655,0.0060792237080796166
155,low,0.4247998297214508,0.46430447697639465,0.477896124124527,0.525588870048523,0.1959470957517624,0.18871837854385376,0.26017025113105774,0.31679752469062805,0.5996710062026978,0.6208304762840271,403.0,225.0,-0.03950464725494385,-0.0850834941592697
155,mid,0.14978614449501038,0.13718871772289276,0.07085306942462921,0.06771376729011536,0.17713043093681335,0.1671324372291565,0.037419237196445465,0.0360510116443038,0.18014874681830406,0.1425180360674858,2474.0,2542.0,0.012597426772117615,0.09182553041688993
166,high,0.8580254912376404,0.5327022075653076,0.3460782468318939,0.24785690009593964,0.9922987818717957,0.7769564390182495,0.17111598700284958,0.14084931463003159,1.1693480014801025,0.5404181778430939,307.0,386.0,0.32532328367233276,0.6107038398793366
166,low,2.2417945861816406,2.1416594982147217,2.5681986808776855,2.3521411418914795,1.2531026601791382,1.285491943359375,0.9013338088989258,0.7926169335842133,3.2858687043190002,3.205457091331482,374.0,319.0,0.10013508796691895,0.046755839595599175
166,mid,0.943298876285553,1.0922751426696777,0.4007418155670166,0.5710309743881226,1.0756173133850098,1.1664111614227295,0.16283497214317322,0.1989927813410759,1.3866418600082397,1.7417704164981842,2529.0,3012.0,-0.14897626638412476,-0.13639078705023472
177,high,0.12674753367900848,0.0858326256275177,0.07368035614490509,0.0708351582288742,0.1871638298034668,0.12033788859844208,0.025255687534809113,0.024041153490543365,0.11889007687568665,0.0955227967351675,273.0,320.0,0.040914908051490784,0.47668247070812636
177,low,0.575411319732666,0.6531082987785339,0.6120054721832275,0.7425654530525208,0.27243417501449585,0.29646724462509155,0.3622061610221863,0.4494076818227768,0.8143381476402283,0.9043530225753784,387.0,206.0,-0.07769697904586792,-0.11896492387430926
177,mid,0.19950999319553375,0.1843525469303131,0.0869273841381073,0.08504787087440491,0.25476160645484924,0.25213903188705444,0.04019761085510254,0.04191984701901674,0.2338024526834488,0.13426954671740532,2869.0,1872.0,0.015157446265220642,0.08221989073441058
188,high,0.6154422163963318,0.5807094573974609,0.6275357007980347,0.6300902962684631,0.22332236170768738,0.2975158393383026,0.4873664751648903,0.4660932421684265,0.780162587761879,0.7329957783222198,238.0,224.0,0.03473275899887085,0.05981090639462128
188,low,0.9884949326515198,1.4339051246643066,0.7004037499427795,0.9107159972190857,0.8729842901229858,1.169026255607605,0.4543992578983307,0.663178026676178,1.0517329573631287,1.9745845794677734,230.0,233.0,-0.44541019201278687,-0.3106273799788967
188,mid,0.9057366847991943,0.8609655499458313,0.6752162575721741,0.6342804431915283,0.7692136764526367,0.7358953356742859,0.45423629879951477,0.4274423345923424,0.9982478022575378,0.9453114569187164,1565.0,2122.0,0.04477113485336304,0.05200107583419553
199,high,0.10219559818506241,0.08884096890687943,0.07436250150203705,0.07055611908435822,0.09402231872081757,0.07974651455879211,0.05489967670291662,0.03654851671308279,0.1235610842704773,0.1061849556863308,212.0,180.0,0.013354629278182983,0.15032061719386386
199,low,0.3626176416873932,0.2779903709888458,0.41713079810142517,0.13710899651050568,0.2269955575466156,0.23434273898601532,0.10790051892399788,0.06047266721725464,0.5595661103725433,0.4995265305042267,275.0,117.0,0.08462727069854736,0.3044251870937752
199,mid,0.19520863890647888,0.18233628571033478,0.1215173527598381,0.12119077891111374,0.17550013959407806,0.16283980011940002,0.06089089252054691,0.05623791366815567,0.3169778883457184,0.2794973850250244,2011.0,1125.0,0.012872353196144104,0.07059677203578411
210,high,0.39548563957214355,0.2667528986930847,0.24075770378112793,0.14057092368602753,0.43386170268058777,0.33761873841285706,0.0797364991158247,0.08800230547785759,0.5712432116270065,0.32938002049922943,178.0,135.0,0.12873274087905884,0.4825917225633361
210,low,0.8703355193138123,1.0083674192428589,0.6509957909584045,0.8288099765777588,0.6788240075111389,0.7471513748168945,0.4271516501903534,0.22880413010716438,1.2595608234405518,1.7542069256305695,197.0,116.0,-0.13803189992904663,-0.13688651308536826
210,mid,0.5165705680847168,0.5449274778366089,0.3569803237915039,0.3568994402885437,0.5213428139686584,0.5623372793197632,0.09953336790204048,0.1118139959871769,0.7374760061502457,0.7274441123008728,1572.0,924.0,-0.02835690975189209,-0.052037951663715935
221,high,0.9293807744979858,1.0320196151733398,1.2396764755249023,1.294323205947876,0.5330909490585327,0.48334696888923645,0.2931450307369232,0.5334138423204422,1.3534384667873383,1.3950673639774323,124.0,130.0,-0.102638840675354,-0.09945435064052983
221,low,1.016324758529663,1.2433103322982788,1.1707004308700562,1.2495160102844238,0.41887572407722473,0.20846721529960632,0.7842497229576111,1.1657041907310486,1.3141340017318726,1.3832777738571167,187.0,67.0,-0.22698557376861572,-0.18256550104351607
221,mid,0.9615140557289124,1.1235864162445068,1.0741539001464844,1.2197452783584595,0.3997747302055359,0.34706276655197144,0.8929848670959473,1.0488494038581848,1.2413783073425293,1.3544727563858032,1377.0,651.0,-0.16207236051559448,-0.14424556773951372
222,high,0.7519082427024841,0.6465862989425659,0.7215596437454224,0.5901871919631958,0.4545130431652069,0.3893207311630249,0.48049938678741455,0.37958280742168427,0.8739858418703079,0.8803998976945877,174.0,376.0,0.10532194375991821,0.16288922906681264
222,low,0.7890145778656006,1.7344155311584473,0.4579956531524658,1.0334174633026123,0.7412805557250977,1.2912746667861938,0.37332844734191895,0.7144750952720642,1.040692687034607,2.8633503913879395,237.0,313.0,-0.9454009532928467,-0.5450833069174584
222,mid,0.7686091661453247,0.9234972596168518,0.5727957487106323,0.7252438068389893,0.6381431221961975,0.7501883506774902,0.4013948366045952,0.47823241353034973,0.9030850678682327,1.0482572317123413,1980.0,2415.0,-0.1548880934715271,-0.16771906127343394
232,high,1.0002155303955078,0.7765809297561646,0.9884636998176575,0.8338975310325623,0.25732600688934326,0.34531617164611816,0.8717398941516876,0.6105470359325409,1.2232916951179504,0.9963519275188446,99.0,283.0,0.22363460063934326,0.28797333551515536
232,low,0.7868274450302124,0.8357973098754883,0.8456789255142212,0.8870173692703247,0.36159592866897583,0.3542643189430237,0.6208599805831909,0.7381764054298401,1.058184266090393,1.0977448225021362,159.0,223.0,-0.04896986484527588,-0.05859059878114599
232,mid,0.785294771194458,0.7965936660766602,0.841483473777771,0.8470406532287598,0.3424636423587799,0.3181779980659485,0.6510010361671448,0.6678818315267563,1.0272573232650757,0.9841672480106354,935.0,2114.0,-0.011298894882202148,-0.014184012958389253
240,high,0.6980809569358826,0.6373367309570312,0.6092150211334229,0.5520232915878296,0.33759182691574097,0.3300456404685974,0.5160984396934509,0.44027166068553925,0.6960626244544983,0.7348589897155762,157.0,254.0,0.06074422597885132,0.09530946990555084
240,low,0.7893476486206055,0.9842015504837036,0.6538628339767456,0.7521795630455017,0.346263587474823,0.5556036233901978,0.5569862574338913,0.5652048885822296,0.9305956214666367,1.2960169315338135,288.0,123.0,-0.19485390186309814,-0.19798170584808944
240,mid,0.8356867432594299,0.8119937777519226,0.6378600597381592,0.6962659955024719,0.4468498229980469,0.3730998635292053,0.5263587236404419,0.542850449681282,1.0930770635604858,1.0514326095581055,1365.0,1918.0,0.023692965507507324,0.029178752543034772
249,high,0.7227222919464111,0.6294713616371155,0.8168664574623108,0.6796883940696716,0.3970799446105957,0.3704223334789276,0.38343533873558044,0.3200262188911438,1.0350204408168793,0.9180642366409302,168.0,249.0,0.09325093030929565,0.14814165662242465
249,low,0.671938955783844,0.6324630975723267,0.6588990688323975,0.6615533828735352,0.294508695602417,0.35399121046066284,0.5214502960443497,0.4765048697590828,0.8631504625082016,0.8361360132694244,276.0,142.0,0.039475858211517334,0.06241606563773152
249,mid,0.6510139107704163,0.6425068378448486,0.6754119396209717,0.6708074808120728,0.368623822927475,0.3517654836177826,0.4760124906897545,0.4729439318180084,0.8977724462747574,0.8799293339252472,1552.0,1778.0,0.008507072925567627,0.013240439516726045
260,high,0.6317601799964905,0.6464692950248718,0.418197363615036,0.4744594395160675,0.681770920753479,0.5281897783279419,0.35166946053504944,0.3620104044675827,0.549895167350769,0.6975052654743195,193.0,263.0,-0.014709115028381348,-0.022752998698593162
260,low,1.449907898902893,1.5109963417053223,1.4709949493408203,1.3646142482757568,0.9372520446777344,1.0646333694458008,0.45939090102910995,0.42079901695251465,2.237272560596466,2.658435106277466,230.0,226.0,-0.0610884428024292,-0.0404292459990236
260,mid,1.1036432981491089,1.1805493831634521,0.7150845527648926,0.7682035565376282,0.8640522360801697,0.9110193252563477,0.4187392592430115,0.4116484522819519,1.68112313747406,1.9633675813674927,1629.0,2017.0,-0.07690608501434326,-0.06514431849370192
266,high,1.3391801118850708,1.3472232818603516,0.9568115472793579,1.005309820175171,1.162552833557129,0.8672251105308533,0.79672572016716,0.7702720463275909,1.3222761154174805,1.6104233264923096,210.0,219.0,-0.008043169975280762,-0.005970183327127573
