GCIN,period,n_days,nse,kge,bias_ratio
2,post,2182,0.12178730474641364,0.019339520402372412,0.7306328695722475
2,pre,1419,0.1902275347526583,0.13001440942551012,0.6814563015133304
13,post,3027,0.07491643135636428,-0.04164727316417727,0.7386463289104944
13,pre,2457,0.13001657061617977,0.011305460185670357,0.7140849361217915
24,post,2143,-0.007235591149207465,-0.42167855554571143,0.2807767372318547
24,pre,1779,0.004578568861440702,-0.3490173809906987,0.30025153544487815
35,post,3091,0.04245041666424676,-0.1409141761862991,0.6692727296854899
35,pre,2280,0.18340686545834584,0.0761795718418724,0.6567365358908397
46,post,3004,0.040379572759759785,-0.14708485840227348,0.516416007230665
46,pre,2388,0.056628977034905215,-0.1110284608346701,0.4906999665918888
57,post,3333,0.13692393186849794,0.2642944337083877,0.9765019576074752
57,pre,2596,0.22051263430786971,0.263471315186917,0.9381494760363092
68,post,4053,0.12614911873697476,0.11313493889092974,0.8466736890072781
68,pre,3123,0.22498848637922297,0.23711074682213795,0.7724045418488992
79,post,3600,0.2394745199773085,0.29115488758321817,0.9871359263951576
79,pre,1972,0.06547159238897138,-0.029149575164989505,0.7572093885038151
90,post,3404,0.2999853602511616,0.29512742112297985,0.8723796095201116
90,pre,2120,0.24711212463509213,0.22481120631064289,0.8712627284484177
101,post,3913,0.22971804564763487,0.2967023544524715,0.904276020191566
101,pre,2945,0.2134026543764077,0.23170831974740813,0.8874392284795087
112,post,2138,0.018278081280637015,-0.2575597850274689,0.7919474025211057
112,pre,1125,-0.0007430323500292602,-0.34256319800833346,0.5512362881131649
113,post,3772,0.03297141848035723,-0.2006477359827119,0.5655237672873691
113,pre,2773,0.07246401792332002,-0.0992915970681314,0.6261173804487732
124,post,3764,0.060722326898700385,-0.08046640208205091,0.6253874709018783
124,pre,4202,0.09813701396660746,-0.01087243724580067,0.7582709329768199
135,post,3025,0.08979037234064247,0.014465469547970011,0.8298023849782461
135,pre,2952,0.12016920217859917,0.05979917876031382,0.8643507516047558
145,post,4086,0.0324331807134276,-0.2144441335429701,0.4990385085487249
145,pre,4342,0.04024460303572619,-0.22409109319899212,0.5081435187029917
155,post,3164,0.09646634578318869,0.009549866357005943,0.7357242304143213
155,pre,3108,0.07623990109273593,-0.06623552169170432,0.7346441441103196
166,post,3210,-0.026939357638351424,-0.40714228002437514,0.30442584719062105
166,pre,3717,-0.009154975308781621,-0.34541837239353734,0.33225458634114147
177,post,3529,0.06649428127553414,0.11448219662699477,0.8702030328822449
177,pre,2398,0.08334461888874811,-0.013199858325389835,0.767087238836413
188,post,2033,-0.0463856452366207,-0.5851033448312135,0.13559616167219088
188,pre,2579,-0.016742876865065703,-0.5040278678978085,0.21831615385890143
199,post,2498,0.023579136467560824,-0.2243380487883535,0.7432412706674492
199,pre,1422,0.00160038558373643,-0.2925734790642105,0.5835855130519868
210,post,1947,-0.008259283516138138,-0.3024073979679156,0.504857489084749
210,pre,1175,-0.012222007109615518,-0.34363856001110804,0.4312552171959007
221,post,1688,0.00881895726424875,-0.26947978580441356,0.6839311907399326
221,pre,848,-0.041941635456078874,-0.4299787795738037,0.3767466101804061
222,post,2391,-0.007521275119119819,-0.48658763986299625,0.42301398240434085
222,pre,3104,-0.017768725505053595,-0.5115005757750277,0.27186259405113167
232,post,1193,-0.0256283867292455,-0.5168031540258793,0.4603264595732568
232,pre,2620,-0.027506298737643542,-0.44505054554379875,0.46712304803923055
240,post,1810,-0.005827372171111733,-0.47476378750557857,0.5244836025601003
240,pre,2295,-0.007164684680813549,-0.415063580137798,0.41872395178115945
249,post,1996,-0.005192703963097234,-0.578750864846618,0.1928772701718213
249,pre,2169,-0.015454391652917732,-0.5362645117716995,0.17827503513996834
260,post,2052,-0.004404547908841261,-0.4718356304623672,0.33372324997116515
260,pre,2506,-0.007325524255542337,-0.5005460310060164,0.27952133888968944
266,post,2670,-0.005427180665076081,-0.5725563926757526,0.22783293987581396
266,pre,1617,-0.03842453764715059,-0.5185236644168525,0.27423214963712
270,post,3030,-0.008104480872773268,-0.44196035809409295,0.48952511664517007
270,pre,2035,-0.022873769173632486,-0.29829458058208225,0.46532167413704173
276,post,1469,-0.017602465439269244,-0.5017298028095547,0.613754942020782
276,pre,1124,-0.022169746614722596,-0.4192892262208001,0.547496349515688
281,post,2671,-0.024179926248939942,-0.5405016787371708,0.4417364515905833
281,pre,1919,-0.03061079235159192,-0.555610142479207,0.25999352779902946
288,post,2995,-0.00934336834696392,-0.3608862370870647,0.8830268533657848
288,pre,3859,-0.00805819257844509,-0.3863210014793983,0.5104796766664792
298,post,1978,-0.03466327453030793,-0.5382486046865615,0.13630523162285577
298,pre,1348,-0.03193697399031814,-0.4970024215223292,0.16982154401175167
299,post,1366,-0.007997434517700963,-0.43652596811330935,0.5635386157593346
299,pre,1775,-0.008705692615850191,-0.4951734646844901,0.3844030658163994
307,post,3332,-0.07652991227530759,0.0471754620870819,1.308054561668842
307,pre,4180,0.03904671055305764,-0.08478907560804338,0.8068885975548228
318,post,2465,0.023381263344056213,-0.16252902746952613,0.8278170873250975
318,pre,2555,-0.025861227095675954,-0.27153288049000657,0.5035995338144083
329,post,2193,-0.04828871469011853,-0.21676325964663046,1.014471321778964
329,pre,2318,-0.02350836329937578,-0.3605325755423816,0.4478143064576743
339,post,2604,-0.09858358008817936,-0.3619450929810535,1.576077897114079
339,pre,2012,0.021356857450148148,-0.21195371550342101,0.7669332952650093
348,post,2529,-0.09178406678614182,-0.28813312212682174,1.6115376656765967
348,pre,3201,0.02329994767531418,-0.19864766875808826,0.7980150951317231
359,post,2926,0.025091168414545728,-0.15096413939694986,1.011466144513124
359,pre,1810,0.007843562550548855,-0.2543731570789485,0.588852946811882
370,post,2815,0.0024565078897081927,-0.2881609919629775,0.9869767543473016
370,pre,2975,0.009318492064475548,-0.2867940531932329,0.6218496865273861
381,post,3853,0.023687659936750594,-0.13656221850753325,0.8928053146267273
381,pre,2212,-0.007581170629030742,-0.2519191792212583,0.5373958250121516
392,post,2530,-0.07170403136804326,-0.3011027924883569,1.4851930254281622
392,pre,1094,0.083956216860811,-0.009079893561642738,0.7074165297820701
403,post,2122,0.029234450576184234,-0.2312355917968445,0.5321063698156275
403,pre,1175,-0.011842414432027049,-0.3027097953027036,0.47514750547340145
404,post,3458,0.024055072519397647,-0.17550034537048975,0.7503276489105521
404,pre,2114,-0.026380124342709088,-0.3315714772568874,0.4291273425016475
415,post,2420,0.0963696546180638,0.1428026019037063,1.0892573270103831
415,pre,2047,0.16254565312316938,0.14270430279118074,0.8551669102939865
426,post,1528,-0.06570561016783505,0.21270321912860024,1.2946502781117475
426,pre,1274,0.25511365481460324,0.329892227909917,0.9618125107660934
437,post,2751,0.06963834362175447,0.16150319364794918,1.1277629627930132
437,pre,1224,0.14551859762328434,0.1368141726590577,0.8194420398267032
448,post,1501,-0.042401398187080996,-0.07087451324692395,1.2640620057096958
448,pre,1118,0.09017869545361201,0.1169968156496295,0.8775563688826036
459,post,2703,-0.08870959057202565,0.19601184738360267,1.517194878787401
459,pre,1932,0.23473937081129692,0.4312642617180529,1.138186421916542
470,post,4090,-0.012139986449040352,-0.3930867685716857,0.6981377858314737
470,pre,2826,-0.01955690855913028,-0.3267802088710028,0.48588308795528146
481,post,3638,-0.03525736742756069,-0.46442576692328896,0.5232619556698752
481,pre,5403,-0.02979041595504861,-0.456866372645516,0.37397292639107377
492,post,3442,-0.029748256598024492,-0.3751017116257933,0.6049009568266935
492,pre,4609,-0.04838267836376042,-0.47247697645271547,0.35212127818000444
503,post,3633,-0.06339286995733451,-0.2188619556991136,1.335117683674303
503,pre,3688,0.03211713442745434,-0.14189619708680534,0.8055229710497126
514,post,3436,0.05587762498536497,-0.16988253344954463,0.5683615968270995
514,pre,3261,0.11509684102132967,-0.05062868501775597,0.6105072754457416
515,post,3914,-1.2890397997159142,-0.7320508030299209,2.333233667578545
515,pre,3298,-0.1729084237051286,-0.10931437327198945,1.18295789765553
526,post,2666,0.0007919962269438141,-0.3429799453484659,0.825199927301526
526,pre,3110,-0.053117759312408364,-0.44021870736703916,0.5102699440761778
537,post,3822,-0.010372507474595505,-0.30805065080913163,0.7731489197320756
537,pre,4145,-0.023858606753575318,-0.3565206949103046,0.5073544160508658
548,post,2564,-0.005065256254644712,-0.3780948970228075,0.6051203475831008
548,pre,2423,-0.019842402215297428,-0.46014403289413486,0.38306560496739084
559,post,2490,-0.07421143984328715,-0.1714040073530967,0.9175136764649038
559,pre,2667,0.02611711578843312,0.028672698255936435,0.9218341040033023
570,post,3852,-0.03384392194666974,-0.2299702757719173,1.135957955533048
570,pre,3165,-0.0831066536644054,-0.44346758635159,0.396603938968787
581,post,3675,0.0011401776655662887,-0.3094225742609209,1.027620531231407
581,pre,3022,-0.03078995129977491,-0.4585756987801528,0.42518429797944257
592,post,4366,-0.00863700832133718,-0.389806655025706,0.682362250658677
592,pre,5898,-0.041079064028766155,-0.46341069147019254,0.3794438185489863
603,post,3963,-0.012153088238699983,-0.34929934570102716,0.7849555742905117
603,pre,2139,-0.024569203243236526,-0.4129637200121057,0.4057295186426855
614,post,4393,-0.00494979903304249,-0.3029510667172577,0.9271018112205263
614,pre,4426,-0.039865882982078604,-0.41239126264619075,0.4140741399537327
625,post,2522,0.13982822266777428,0.03842445911848569,0.7011421452999441
625,pre,1898,0.12720627494202685,0.031588552857486074,0.7341449374505424
626,post,2807,-0.0007338045399698512,-0.3364730506309359,0.8361407060971473
626,pre,2591,-0.0631852283079235,-0.4176350996452165,0.4246183283564219
637,post,3638,0.0018882487128465408,-0.26313718750777015,0.8296536109916057
637,pre,2810,-0.04433449158782543,-0.36592647156422475,0.5043254070412166
648,post,3448,-0.17447686869627188,-0.3358504506347375,1.470132242923469
648,pre,5234,-0.041591052497040204,-0.31524142688343626,0.683759730739169
659,post,3591,0.012010425891181953,-0.1637110480970696,0.9994712844968958
659,pre,3294,-0.013283134004296704,-0.1988836040562203,0.7135484921149039
670,post,3763,-0.019014538448437923,-0.40896909301746387,0.6875026856493631
670,pre,2802,-0.04898156706733725,-0.47899185806838007,0.3154950753621876
681,post,3864,-0.1973620265654601,-0.10233423533306985,1.5762946772348612
681,pre,5285,0.02670314769579374,-0.05375861169144747,0.8504445359866701
692,post,3740,-0.034610420009257625,-0.08926175068323472,1.139528113212122
692,pre,4928,0.12590907867920875,0.14192179307501718,0.8597574139038799
703,post,3639,-0.035657143005538794,-0.0395766314833188,1.3399628839094464
703,pre,4755,0.05106888619813166,-0.06451185219701983,0.7804166251955371
714,post,4062,0.11503361078778873,0.3994887323564503,1.2428642511418826
714,pre,5042,0.24720087527704748,0.4349588700675159,1.0400041994278437
725,post,4061,0.23704081782694264,0.35084767783037585,1.012237958963606
725,pre,2841,0.22619501459592484,0.2625966514270467,0.8222334430004604
736,post,2592,0.10520384460491261,-0.09148735467391877,0.5360627626543054
736,pre,2055,0.14985807890625602,0.014750316913305084,0.6031704394158578
737,post,3613,-0.020528048903279306,-0.30500220918259346,0.6136299455984455
737,pre,2373,-0.024950431805247364,-0.29973318147726036,0.46047215734696373
748,post,3172,-0.4006088576297828,0.2236381941990313,1.415685639914625
748,pre,2883,-0.04207116145700818,0.34333310204546885,1.2858279012083873
759,post,3315,0.09142863984295602,0.31473804926495563,1.3650481697453742
759,pre,1608,0.1976258739084109,0.4959758126104894,1.3521125374886385
770,post,4216,-0.07058819788676551,0.37054794078538034,1.4188649213084974
770,pre,3883,0.26178787717460417,0.5566982020001774,1.071313262221816
781,post,2755,-0.11706922502113093,0.21978379854626195,1.3239735513300601
