GCIN,pre_epsilon_mean,pre_qobs_valid_days,pre_n_recession_days_predicted,pre_nse,pre_kge,pre_fold_nse_mean,pre_fold_nse_std,pre_fold_kge_mean,pre_folds_scored,post_epsilon_mean,post_qobs_valid_days,post_n_recession_days_predicted,post_nse,post_kge,post_fold_nse_mean,post_fold_nse_std,post_fold_kge_mean,post_folds_scored,delta_epsilon_mean
1,0.13517106936446258,574,574,0.2601680603833477,0.394612622619255,0.43120975522989075,0.34893131400052085,0.49453217950649825,3,,0,0,,,,,,0,
2,0.07265762171815628,1489,1489,0.11062355328799411,0.3685456373115973,-0.16607063070528016,0.3714221153836821,0.30528929550167855,3,0.055749742176794875,3502,3502,0.13448757438943348,0.5896830161500516,0.13033729757911314,0.22743695272688572,0.4148526089124515,5,-0.0169078795413614
3,0.057267924822184076,2886,2886,0.3019443482647174,0.3581315252231596,0.3155417868623297,0.214872667753009,0.3368916025133991,5,0.06984410413209832,3010,3010,0.5053288817685697,0.473539991620466,0.5189885120168947,0.12579496299281476,0.47616585289263486,5,0.012576179309914247
4,0.12266563021643515,1547,1547,0.23406934471754937,0.37288175730858075,0.0510766949237514,0.515425777150361,0.1713262043946443,5,0.2548744416598758,2204,2204,0.38037312359981346,0.39662135859952474,0.44818428962649504,0.2292605177667091,0.4283945304948135,5,0.13220881144344063
5,0.10737385783028047,1083,1083,0.24715572172179934,0.5178940459911134,0.21500134871613863,0.18048119185418193,0.43437647162060167,5,0.11239173445765495,1882,1882,0.3691279278104489,0.496707776512079,0.379040916676395,0.17634438272854847,0.4211466163172143,5,0.005017876627374476
6,0.08863062603585076,1613,1613,0.17254048439733094,0.2567695941493997,0.16953556325655952,0.15861055400632418,0.28046644155668304,5,0.0998324694081408,1830,1830,0.30576900641451177,0.31913369252759094,0.24832077697495483,0.24985293859255595,0.33764916445363247,5,0.011201843372290049
7,0.04160271394961726,1238,1238,0.22116094967166866,0.374360299122949,-0.08647590719348142,0.7894650927665242,0.20342829925020914,5,0.04121098513029732,1862,1862,0.30617232536135874,0.43179586441174966,0.3154266458149314,0.18438497729868847,0.4447697846394593,5,-0.0003917288193199392
8,0.05634331240474088,3063,3063,0.369089669410511,0.6448965518699155,0.3114861302081847,0.2915210777154332,0.6029307607648915,5,0.05504325474062045,2919,2919,0.7260110410496641,0.7883928653904841,0.6436979044135503,0.22758594169634713,0.7366452750201309,5,-0.0013000576641204326
9,0.05368627172341333,1114,1114,0.04212861656067235,0.4689515574283559,-0.1401705249756801,0.519168068626502,0.4194263988405506,5,0.054731077064279016,1001,1001,0.06051269745459331,0.5198527257020049,-6.833988535224364,16.00350033465117,-0.2938488233513089,5,0.0010448053408656857
10,0.015159123515722642,2402,2402,0.40262380176261137,0.6209891422423505,0.38713809418921996,0.07444079875253862,0.5805482602986818,5,0.014851204287922123,1887,1887,0.44823441495039196,0.6396147081382559,0.4430253065790069,0.31102763388909654,0.6069420344725422,5,-0.0003079192278005183
11,2.3572939585714403,1532,1532,0.4549933382082415,0.3325682682953863,0.3945559034176114,0.17838629842374684,0.35732907724116547,3,1.4940409870155857,2632,2632,0.35767942353891036,0.18688523869347096,0.27449087420952967,0.17055341971519042,0.08010619846414288,4,-0.8632529715558546
