GCIN,period,n_days,nse,kge,bias_ratio
1,pre,574,-6.5669791369453465,-1.1938760684642493,3.0694279075648154
2,post,3502,-0.1103223353328806,0.3807047422090766,0.7495649531255408
2,pre,1489,-0.4021530885379345,0.29435309522033337,0.7628299052601198
3,post,3010,0.3491322744124358,0.4721545384559592,0.8155612284763203
3,pre,2886,0.09509456322471621,0.3463683151853719,1.1931536760549795
4,post,2204,0.11567245526841308,0.4558830430621117,1.4035800291094356
4,pre,1547,-2.3339443794721966,-0.7481423139230354,2.5936131172983434
5,post,1882,-37.46444833068575,-4.265914130817685,5.66204441963417
5,pre,1083,-47.491666056065064,-5.335575398155779,6.869995732001648
6,post,1830,-1.0501237207399319,-0.040710818113357305,1.9196009005356183
6,pre,1613,-2.0677293619751613,-0.6297260159120359,2.5158527076015034
7,post,1862,0.09785465635311774,0.30465848844580656,0.6567688349960661
7,pre,1238,0.21279664084382532,0.36994023606547666,0.925849822365176
8,post,2919,-0.03692237919245711,0.4741250302388016,0.672878630879888
8,pre,3063,-0.8461945905117529,0.24071518043129625,0.5241805507769246
9,post,1001,-0.042953567501912815,0.11326288896479264,0.5021284026712463
9,pre,1114,-1.0065365545187435,-0.076679564712413,0.31351059454113667
10,post,1887,-5.730911624526674,-0.5469620595022726,2.458349420698706
10,pre,2402,-4.233447322589241,-0.201380812191563,2.0830083232341243
11,post,2632,0.356498996977365,0.314669072344565,1.1903817137187318
11,pre,1532,0.35652527033314974,0.42007811838829745,1.26979373808081
12,post,1915,0.34717037683853513,0.3955808536416062,0.8715500877779461
12,pre,1045,0.3080547404443522,0.35203451434631516,0.8258778466623456
13,post,2080,-0.240836276261289,-0.005567856945346117,1.8613285197118339
13,pre,1405,-1.8504095631624455,-1.2399205584775168,2.9039681806411233
14,post,2189,0.5353217941346768,0.606740872627046,1.1962239963127952
14,pre,1221,0.4902132930926347,0.5290119019608777,1.1365007894349919
15,post,3547,0.29993099651772626,-0.00967306082683983,0.34786601606626716
15,pre,3389,0.3462304668519901,0.04109858744532702,0.3376618246831264
16,post,2727,0.365562525174453,0.25254092906759995,0.6396219016862134
16,pre,2142,0.40342288339453836,0.2769644843138791,0.5869508024809188
17,post,2782,0.5757824649885882,0.5693627556222893,0.8748867811289651
17,pre,2267,0.5789085360077659,0.7866528126899178,0.9414571263193863
18,post,2908,0.3934956054863834,0.3128953203410775,0.6656888093818263
