,value
n_catchments,2511.0
n_valid_delta,2297.0
mean_pre_epsilon,0.8110529431286106
mean_post_epsilon,0.7058737105711764
mean_delta_epsilon,-0.05874873839667509
median_delta_epsilon,0.0015741636504805756
negative_delta_share,0.4475402699172834
n_recession_simulation_days,9192715.0
pooled_nse_all,0.5771858496383617
pooled_kge_all,0.5860592936520207
median_catchment_nse_all,0.5808235699471522
median_catchment_kge_all,0.6424313263839447
p10_catchment_nse_all,0.12765018543630458
p90_catchment_nse_all,0.7752987961120261
p10_catchment_kge_all,0.1518005428806123
p90_catchment_kge_all,0.8367170655675333
